NCT Id,Brief Title,Official Title,Overall Status,Conditions,Interventions,Study First Post Date,Last Update Post Date,Phases,Study Type,sex,minimumAge,maximumAge
NCT04134260,Testing the Addition of the Drug Apalutamide to the Usual Hormone Therapy and Radiation Therapy After Surgery for Prostate Cancer,Randomized Phase III Trial Incorporating Apalutamide and Advanced Imaging Into Salvage Treatment for Patients With Node-Positive Prostate Cancer After Radical Prostatectomy (INNOVATE*) *INtensifying Treatment for NOde Positive Prostate Cancer by VArying the Hormonal ThErapy,RECRUITING,Prostate Adenocarcinoma|Stage I Prostate Cancer AJCC v8|Stage II Prostate Cancer AJCC v8|Stage IIA Prostate Cancer AJCC v8|Stage IIB Prostate Cancer AJCC v8|Stage IIC Prostate Cancer AJCC v8|Stage III Prostate Cancer AJCC v8|Stage IIIA Prostate Cancer AJCC v8|Stage IIIB Prostate Cancer AJCC v8|Stage IIIC Prostate Cancer AJCC v8|Stage IVA Prostate Cancer AJCC v8,Drug: Hormone Therapy|Drug: Apalutamide,2019-10-22,2024-02-07,PHASE3,INTERVENTIONAL,MALE,18 Years,
NCT01142427,Risk-Based Classification System of Patients With Newly Diagnosed Acute Lymphoblastic Leukemia,Classification of Newly Diagnosed Acute Lymphoblastic Leukemia (ALL),COMPLETED,Acute Lymphoblastic Leukemia,Other: Cytology Specimen Collection Procedure,2010-06-11,2023-10-03,,OBSERVATIONAL,ALL,,30 Years
NCT00898365,Study of Kidney Tumors in Younger Patients,"Renal Tumors Classification, Biology, and Banking Study",RECRUITING,Adult Cystic Nephroma|Anaplastic Kidney Wilms Tumor|Angiolipoma|Cellular Congenital Mesoblastic Nephroma|Classic Congenital Mesoblastic Nephroma|Clear Cell Sarcoma of the Kidney|Congenital Mesoblastic Nephroma|Cystic Partially Differentiated Kidney Nephroblastoma|Diffuse Hyperplastic Perilobar Nephroblastomatosis|Extrarenal Rhabdoid Tumor|Kidney Medullary Carcinoma|Kidney Neoplasm|Kidney Oncocytoma|Kidney Wilms Tumor|Metanephric Adenofibroma|Metanephric Adenoma|Metanephric Stromal Tumor|Metanephric Tumor|Mixed Congenital Mesoblastic Nephroma|Ossifying Renal Tumor of Infancy|Papillary Renal Cell Carcinoma|Renal Cell Carcinoma|Renal Cell Carcinoma Associated With Xp11.2 Translocations/TFE3 Gene Fusions|Rhabdoid Tumor of the Kidney|Wilms Tumor,Other: Cytology Specimen Collection Procedure,2009-05-12,2024-08-09,,OBSERVATIONAL,ALL,,29 Years
NCT01119560,Genetic Susceptibility Biomarkers in Children With Neuroblastoma (Also Known as Neuroblastoma Epidemiology in North America [NENA]),Genetic Susceptibility Factors in the Etiology of Neuroblastoma Also Known as Neuroblastoma Epidemiology in North America (NENA),COMPLETED,Neuroblastoma,Other: Cytology Specimen Collection Procedure,2010-05-07,2019-01-08,,OBSERVATIONAL,ALL,,
NCT04917640,Registry for Accelerated Partial Breast Irradiation With (SBRT) or (IMRT),Accelerated Partial Breast Irradiation (PBI) With Stereotactic Body Radiation Therapy (SBRT) or Intensity Modulated Radiation Therapy (IMRT),WITHDRAWN,Breast Cancer,Radiation: Radiation Therapy|Radiation: Radiation Therapy,2021-06-08,2021-09-08,,OBSERVATIONAL,FEMALE,50 Years,100 Years
NCT00760266,Blood Pressure Lowering of Aliskiren HCTZ Compared to HCTZ in Stage 2 Systolic Hypertension in Older Population,"An 8-week Randomized, Double-blind, Parallel-group, Multi-center, Active-controlled Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren HCTZ (300/25 mg) Compared to HCTZ (25 mg) in Older Patients With Stage 2 Systolic Hypertension",COMPLETED,Hypertension,Drug: Aliskiren|Drug: Hydrochlorothiazide,2008-09-26,2011-04-04,PHASE4,INTERVENTIONAL,ALL,55 Years,
NCT06015282,The Celljuvant Study: A Phase 3 Immunogenicity and Safety Study of aQIVc Vaccine in Adults Aged 50 Years and Older,"A Phase 3, Randomized, Observer-Blind, Controlled, Multicenter, Clinical Study to Evaluate Immunogenicity and Safety of a MF59-Adjuvanted Quadrivalent Subunit Cell-derived Influenza Vaccine (aQIVc) in Comparison With Quadrivalent Influenza Vaccines, in Adults Aged 50 Years and Older.",ACTIVE_NOT_RECRUITING,"Influenza, Human",Biological: Investigational aQIVc|Biological: licensed QIV1|Biological: licensed QIV2,2023-08-29,2024-09-20,PHASE3,INTERVENTIONAL,ALL,50 Years,
NCT00942331,Gemcitabine Hydrochloride and Cisplatin With or Without Bevacizumab in Treating Patients With Advanced Urinary Tract Cancer,"A Randomized Double-Blinded Phase III Study Comparing Gemcitabine, Cisplatin, and Bevacizumab to Gemcitabine, Cisplatin, and Placebo in Patients With Advanced Transitional Cell Carcinoma",COMPLETED,Advanced Urothelial Carcinoma|Metastatic Bladder Urothelial Carcinoma|Metastatic Prostate Carcinoma|Metastatic Renal Pelvis Urothelial Carcinoma|Metastatic Ureter Urothelial Carcinoma|Metastatic Urethral Urothelial Carcinoma|Metastatic Urothelial Carcinoma|Stage IV Bladder Urothelial Carcinoma AJCC v7|Stage IV Prostate Cancer AJCC v7|Stage IV Renal Pelvis Cancer AJCC v7|Stage IV Ureter Cancer AJCC v7|Stage IV Urethral Cancer AJCC v7|Unresectable Urothelial Carcinoma,Drug: Cisplatin|Biological: Bevacizumab,2009-07-20,2023-10-16,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT03375320,Testing Cabozantinib in Patients With Advanced Pancreatic Neuroendocrine and Carcinoid Tumors,"Randomized, Double-Blinded Phase III Study of CABozantinib Versus Placebo IN Patients With Advanced NEuroendocrine Tumors After Progression on Prior Therapy (CABINET)",ACTIVE_NOT_RECRUITING,Carcinoid Tumor|Functioning Pancreatic Neuroendocrine Tumor|Intermediate Grade Lung Neuroendocrine Neoplasm|Locally Advanced Digestive System Neuroendocrine Neoplasm|Locally Advanced Digestive System Neuroendocrine Tumor G1|Locally Advanced Lung Neuroendocrine Neoplasm|Locally Advanced Pancreatic Neuroendocrine Tumor|Locally Advanced Unresectable Digestive System Neuroendocrine Neoplasm|Low Grade Lung Neuroendocrine Neoplasm|Lung Neuroendocrine Tumor|Lung Neuroendocrine Tumor G2|Metastatic Digestive System Neuroendocrine Neoplasm|Metastatic Digestive System Neuroendocrine Tumor G1|Metastatic Lung Neuroendocrine Neoplasm|Metastatic Lung Neuroendocrine Tumor|Metastatic Pancreatic Neuroendocrine Neoplasm|Metastatic Pancreatic Neuroendocrine Tumor|Metastatic Thymic Neuroendocrine Neoplasm|Neuroendocrine Neoplasm|Neuroendocrine Tumor G2|Non-Functioning Pancreatic Neuroendocrine Tumor|Pancreatic Serotonin-Producing Neuroendocrine Tumor|Thymic Neuroendocrine Tumor|Unresectable Digestive System Neuroendocrine Neoplasm|Unresectable Digestive System Neuroendocrine Tumor G1|Unresectable Lung Neuroendocrine Neoplasm|Unresectable Pancreatic Neuroendocrine Neoplasm|Unresectable Thymic Neuroendocrine Neoplasm,Drug: Cabozantinib S-malate|Procedure: Computed Tomography,2017-12-18,2024-07-03,PHASE3,INTERVENTIONAL,ALL,18 Years,
NCT04540120,Safety and Efficacy of Dapansutrile for Treatment of Moderate COVID-19 Symptoms and Evidence of Early Cytokine Release Syndrome,"A Phase 2 Randomized, Double-Blind, Placebo-Controlled Trial of the Safety and Efficacy of Orally Administered Dapansutrile Capsules for the Treatment of Moderate COVID-19 Symptoms and Evidence of Early Cytokine Release Syndrome",TERMINATED,Covid19|Cytokine Release Syndrome,Drug: dapansutrile capsules|Drug: placebo capsules,2020-09-07,2023-04-13,PHASE2,INTERVENTIONAL,ALL,18 Years,
